col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	5.677	0.475	11.0	0.0	1.0	1.0
3	3	97	5.226	0.425	11.129	0.428	1.0	1.0
3	3	94	5.032	0.18	11.226	0.425	1.0	1.0
3	3	91	5.0	0.0	11.581	0.502	1.0	1.0
3	3	88	4.968	0.18	11.839	0.374	1.0	1.0
3	3	85	4.839	0.374	12.032	0.315	1.0	1.0
3	3	82	4.774	0.425	12.194	0.477	1.0	1.0
3	3	79	4.452	0.506	12.419	0.564	1.0	1.0
3	3	76	4.032	0.18	12.935	0.25	1.0	1.0
3	3	73	4.032	0.18	13.161	0.735	1.0	1.0
3	3	70	4.032	0.18	13.419	0.62	1.0	1.0
3	3	67	3.968	0.18	14.097	0.651	1.0	1.0
3	3	64	3.903	0.396	14.516	0.626	1.0	1.0
3	3	61	3.613	0.495	15.032	0.948	1.0	1.0
3	3	58	3.194	0.402	16.161	0.898	1.0	1.0
3	3	55	2.806	0.402	17.548	1.028	1.0	1.0
3	3	52	2.29	0.461	19.161	1.968	1.0	1.0
3	3	49	1.935	0.359	21.71	2.269	1.0	1.0
3	3	46	1.793	0.491	27.267	5.179	0.903	0.968
3	3	43	0.423	0.703	32.923	6.763	0.258	0.419
3	3	40	0.032	0.18	37.0	0.0	0.032	0.032
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	5.516	0.508	11.0	0.0	1.0	1.0
3	4	97	5.355	0.486	11.29	0.461	1.0	1.0
3	4	94	5.0	0.0	11.452	0.506	1.0	1.0
3	4	91	5.032	0.18	11.871	0.341	1.0	1.0
3	4	88	4.968	0.18	11.806	0.402	1.0	1.0
3	4	85	4.935	0.25	11.968	0.18	1.0	1.0
3	4	82	4.484	0.508	12.097	0.301	1.0	1.0
3	4	79	4.065	0.25	12.613	0.495	1.0	1.0
3	4	76	4.097	0.301	12.935	0.359	1.0	1.0
3	4	73	4.0	0.0	13.258	0.445	1.0	1.0
3	4	70	4.0	0.0	13.742	0.445	1.0	1.0
3	4	67	3.968	0.18	13.871	0.846	1.0	1.0
3	4	64	3.774	0.425	15.032	1.329	1.0	1.0
3	4	61	3.484	0.57	15.774	1.606	1.0	1.0
3	4	58	3.097	0.301	16.258	0.815	1.0	1.0
3	4	55	2.742	0.445	17.645	1.17	1.0	1.0
3	4	52	2.194	0.402	19.742	1.843	1.0	1.0
3	4	49	2.032	0.18	21.871	2.405	1.0	1.0
3	4	46	1.71	0.588	25.414	4.339	0.935	0.935
3	4	43	0.167	0.461	32.0	5.148	0.129	0.161
3	4	40	0.0	0.0	nan	nan	0.0	0.0
3	4	37	0.0	0.0	nan	nan	0.0	0.0
3	4	34	0.0	0.0	nan	nan	0.0	0.0
3	4	31	0.0	0.0	nan	nan	0.0	0.0
3	4	28	0.0	0.0	nan	nan	0.0	0.0
3	5	100	5.355	0.486	11.065	0.359	1.0	1.0
3	5	97	5.065	0.25	11.258	0.445	1.0	1.0
3	5	94	5.0	0.0	11.452	0.506	1.0	1.0
3	5	91	5.032	0.18	11.774	0.425	1.0	1.0
3	5	88	4.968	0.18	11.968	0.18	1.0	1.0
3	5	85	4.968	0.315	12.0	0.258	1.0	1.0
